timestamp,symbol,side,quantity,simulated_price,rationale_link,stop_loss,take_profit,status,realized_pnl,notes
2026-05-12T20:02:25.322259+00:00,GLD,BUY,34,430.7861,decisions/2026-05-12/2000_GLD.json,387.63,538.375,OPEN,-0.0,strategy=dual_momentum_taa; rank=top-1; 12m_ret=+38.56%; cb=FULL
2026-05-12T20:02:25.322596+00:00,GOOGL,BUY,15,397.9096,decisions/2026-05-12/2000_GOOGL.json,358.047,497.2875,OPEN,-0.0,strategy=large_cap_momentum_top5; rank=1; 6m_ret=+35.31%; cb=FULL
2026-05-12T20:02:25.322869+00:00,XOM,BUY,40,148.6497,decisions/2026-05-12/2000_XOM.json,133.758,185.775,OPEN,-0.0,strategy=large_cap_momentum_top5; rank=2; 6m_ret=+33.58%; cb=FULL
2026-05-12T20:02:25.323129+00:00,CSCO,BUY,65,91.6483,decisions/2026-05-12/2000_CSCO.json,82.467,114.5375,OPEN,-0.0,strategy=large_cap_momentum_top5; rank=3; 6m_ret=+25.29%; cb=FULL
2026-05-12T20:02:25.323367+00:00,WMT,BUY,46,130.116,decisions/2026-05-12/2000_WMT.json,117.081,162.6125,OPEN,-0.0,strategy=large_cap_momentum_top5; rank=4; 6m_ret=+24.30%; cb=FULL
2026-05-13T19:39:01.978540+00:00,CSCO,CLOSE,65,101.1698,decisions/2026-05-13/1536_CSCO.json,,,CLOSED,618.9,pre_close overnight_risk: CSCO Q3 FY26 earnings AMC 2026-05-13. Source: Cisco IR + Stocktitan + MarketBeat. Implied move ~9.87% (TipRanks options preview). RM+Compliance APPROVED.
2026-05-15T00:31:53.339382+00:00,_RESET_,RESET,0,0,scripts/sync_alpaca_state.py,,,RESET,0,"sync_alpaca_state --reset-fresh-start; local_before=4 positions, alpaca_before=0 positions, alpaca_equity_before=$102,496.62; all subsequent rows are fresh post-reset state"
2026-05-18T20:45:50.419309+00:00,GLD,BUY,36,0.0,decisions/2026-05-18/2041_GLD.json,375.561,521.6125,PENDING_BROKER,0.0,strategy=dual_momentum_taa; rank=top-1; 12m_ret=+42.34%; cb=FULL; throttle=1.0; subsumes gold_permanent_overlay; broker_pending order_id=adb6c021-5d8a-4ac4-a347-20aeb493bfb9 status=OrderStatus.ACCEPTED
2026-05-18T20:45:55.653898+00:00,CSCO,BUY,130,0.0,decisions/2026-05-18/2041_CSCO.json,106.389,147.7625,PENDING_BROKER,0.0,strategy=large_cap_momentum_top5; rank=1; 6m_ret=+61.56%; cb=FULL; throttle=1.0; elevated-monitoring post-earnings; broker_pending order_id=378797e1-eaa0-4479-85bf-6eb86b9a7381 status=OrderStatus.ACCEPTED
2026-05-18T20:46:00.870650+00:00,GOOGL,BUY,38,0.0,decisions/2026-05-18/2041_GOOGL.json,357.102,495.975,PENDING_BROKER,0.0,strategy=large_cap_momentum_top5; rank=2; 6m_ret=+38.58%; cb=FULL; throttle=1.0; broker_pending order_id=daaea20f-1844-4002-ac12-1fafdba62e08 status=OrderStatus.ACCEPTED
2026-05-18T20:46:06.221305+00:00,XOM,BUY,97,0.0,decisions/2026-05-18/2041_XOM.json,142.128,197.4,PENDING_BROKER,0.0,strategy=large_cap_momentum_top5; rank=3; 6m_ret=+36.68%; cb=FULL; throttle=1.0; broker_pending order_id=b65e42a2-a82f-43a2-acb1-b517db752d19 status=OrderStatus.ACCEPTED
2026-05-18T20:46:11.609240+00:00,WMT,BUY,116,0.0,decisions/2026-05-18/2041_WMT.json,118.305,164.3125,PENDING_BROKER,0.0,strategy=large_cap_momentum_top5; rank=4; 6m_ret=+27.84%; cb=FULL; throttle=1.0; WMT earnings 2026-05-21 BMO (outside 1d window today); broker_pending order_id=3464ba97-43c2-4930-9538-5adba4a23d7a status=OrderStatus.ACCEPTED
2026-05-19T20:42:20.745404+00:00,UNH,BUY,39.0,0.0,decisions/2026-05-19/2038_UNH.json,352.017,488.9125,PENDING_BROKER,0.0,strategy=large_cap_momentum_top5; rank=5; 6m_ret=+19.34%; cb=FULL; throttle=1.0; new open (not previously held); EOD 2026-05-19; broker_pending order_id=d1e522f0-e7e6-4150-9a3e-880585d14939 status=OrderStatus.ACCEPTED
2026-05-20T19:37:48.455505+00:00,WMT,CLOSE,116.0,0.0,decisions/2026-05-20/1935_WMT.json,,,PENDING_BROKER,0.0,pre_close overnight_risk: WMT Q1 FY27 earnings BMO 2026-05-21. Sources: WMT IR + internal routine docket (carried since 2026-05-18 entry). RM+Compliance APPROVED.; broker_close_pending order_id=5895f9df-727c-4b06-9848-d8b634cc9c39 status=OrderStatus.FILLED
2026-05-22T20:44:19.898765+00:00,NVDA,BUY,27,0.0,decisions/2026-05-22/1641_NVDA.json,197.559,274.3875,PENDING_BROKER,0.0,strategy=large_cap_momentum_top5; rank=5; 6m_ret=+21.05%; cb=FULL; throttle=1.0; new open (rank 6->5 promotion); EOD 2026-05-22; broker_pending order_id=14d3ade1-38db-4605-a93c-c88481ce5a53 status=OrderStatus.ACCEPTED
2026-05-26T19:46:30.821732+00:00,NVDA,CLOSE,27.0,0.0,decisions/2026-05-26/1614_NVDA.json,,,PENDING_BROKER,0.0,"daily_loss_limit_breach_midday; midday-approved (RM=APPROVED, Compliance=APPROVED); executed by pre_close per halt_after_daily_limit_breach=true; broker_close_pending order_id=40f0f701-a856-4583-a3c8-434e2faadd81 status=OrderStatus.FILLED"
